Baker,Barista,Brewer,Butcher,Farmer,Farrier,Fisherman,Grocer,Miller,Vinter
0.0122252,0.0281935,0.0351114,0.021131,0.015012,0.186476,0.0696154,0.0404708,0.129477,0.0105126,=AVERAGE(A61:J61)
0.00513577,0.0047102,0.0567188,0.0955705,0.00848246,0.180094,0.0405552,0.0400417,0.0338501,0.263742,=AVERAGE(A62:J62)
0.000823021,0.0479507,0.00679278,0.0997318,0.00407314,0.0709414,0.0147002,0.00895345,0.0393064,0.283345,=AVERAGE(A63:J63)
0.0365818,0.0229096,0.0122361,0.0621181,0.0609174,0.043287,0.0430202,0.0816912,0.0209862,0.0439141,=AVERAGE(A64:J64)
0.000804186,0.186647,0.00964189,0.14008,0.123332,0.0269008,0.075713,0.0128291,0.159264,0.105428,=AVERAGE(A65:J65)
0.00111604,0.172028,0.0150585,0.176588,0.136239,0.0192132,0.0579693,0.0770196,0.0943832,0.0279572,=AVERAGE(A66:J66)
0.028769,0.029767,0.0303295,0.00487471,0.0134728,0.0325744,0.0239568,0.000590086,0.00463307,0.00372505,=AVERAGE(A67:J67)
0.00765157,0.028168,0.0274346,0.0031445,0.0668659,0.022325,0.00808549,0.0286689,0.0245783,0.0197294,=AVERAGE(A68:J68)
0.0236907,0.0445533,0.0493849,0.166247,0.0476864,0.0161691,0.0209169,0.0229394,0.118609,0.0405803,=AVERAGE(A69:J69)
0.00940681,0.0705547,0.0411489,0.0630417,0.0418868,0.0231524,0.0364485,0.0114489,0.0174032,0.0116546,=AVERAGE(A70:J70)
0.0065043,0.0669098,0.0201995,0.0667256,0.0266387,0.035733,0.0158269,0.0317254,0.000886798,0.0193267,=AVERAGE(A71:J71)
0.00750685,0.011971,0.0355105,0.0424595,0.0325906,0.107109,0.0717165,0.105005,0.00771999,0.00701904,=AVERAGE(A72:J72)
0.00490451,0.0210574,0.0362375,0.101314,0.0635395,0.114426,0.0511856,0.0712872,0.0375752,0.0170929,=AVERAGE(A73:J73)
0.0135565,0.0095222,0.0499304,0.0480037,0.0966493,5.53131e-05,0.0320024,0.0480869,0.0946344,0.00173736,=AVERAGE(A74:J74)
0.0094254,0.0627863,0.0249288,0.00540471,0.0573897,0.00956011,0.0566993,0.128727,0.0528677,0.0291359,=AVERAGE(A75:J75)
0.00840664,0.143839,0.111897,0.00409484,0.008816,0.039623,0.0436709,0.0498066,0.0210334,0.0542116,=AVERAGE(A76:J76)
0.0616794,0.126346,0.0584488,0.0293148,0.111739,0.0912455,0.0297682,0.00638771,0.0397782,0.0125253,=AVERAGE(A77:J77)
0.0383196,0.0856885,0.057703,0.0304351,0.160898,0.214705,0.0448771,0.0985012,0.0790472,0.0693456,=AVERAGE(A78:J78)
0.0304952,0.0100698,0.0261421,0.0361223,0.0185084,0.213158,0.0349557,0.130411,0.136544,0.21272,=AVERAGE(A79:J79)
0.0173938,0.0121672,0.0130856,0.0167437,0.209763,0.0584852,0.0136983,0.00933838,0.0510923,0.20344,=AVERAGE(A80:J80)
0.0204494,0.0242152,0.0339274,0.0106115,0.0625029,0.0223627,0.0732938,0.000967979,0.0676402,0.0123744,=AVERAGE(A81:J81)
0.0278502,0.022413,0.0697703,0.0064404,0.0593963,0.0130365,0.0103235,0.0243616,0.0174587,0.0293455,=AVERAGE(A82:J82)
0.0649509,0.00429058,0.0494761,0.0264738,0.00650263,0.0265906,0.0297379,0.0362251,0.111465,0.00706673,=AVERAGE(A83:J83)
0.0732366,0.0437903,0.0145648,0.0699568,0.0220194,0.0353463,0.0452957,0.176472,0.220903,0.0572972,=AVERAGE(A84:J84)
0.0253391,0.0246122,0.0525808,0.117333,0.0846639,0.0239558,0.104591,0.156029,0.185857,0.0330086,=AVERAGE(A85:J85)
0.0166819,0.0134189,0.110478,0.0129354,0.0293908,0.00771928,0.00241184,0.0326791,0.0739985,0.0552125,=AVERAGE(A86:J86)
0.02108,0.0353014,0.0365496,0.00964689,0.0477535,0.017791,0.0621948,0.0162859,0.0288744,0.0323119,=AVERAGE(A87:J87)
0.00665092,0.0646529,0.0288171,0.0100651,0.0663462,0.0299461,0.0395005,0.00122666,0.0243777,0.0334249,=AVERAGE(A88:J88)
0.0112705,0.00706744,0.124905,0.0363963,0.0248947,0.0272644,0.0253377,0.0103166,0.0350509,0.0426416,=AVERAGE(A89:J89)
0.00897408,0.013263,0.00714684,0.0354049,0.114773,0.0146241,0.0326059,0.0477762,0.0042758,0.0245638,=AVERAGE(A90:J90)
0.0227456,0.00441551,0.0385375,0.0719308,0.112145,0.0312405,0.0108712,0.0103354,0.100562,0.0272501,=AVERAGE(A91:J91)
0.0220459,0.0451703,0.0608606,0.123557,0.0351827,0.0241365,0.0151618,0.00841403,0.0561728,0.0283997,=AVERAGE(A92:J92)
0.0344939,0.0259807,0.0367644,0.0116539,0.181719,0.0636835,0.0688726,0.0191741,0.0231801,0.0270615,=AVERAGE(A93:J93)
0.000142097,0.0331905,0.00276566,0.0180719,0.149101,0.0203214,0.0108244,0.0106435,0.0628596,0.0198193,=AVERAGE(A94:J94)
0.0388811,0.054248,0.0287673,0.0256958,0.0230567,0.0324318,0.0735418,0.0114882,0.0908326,0.00832176,=AVERAGE(A95:J95)
0.033788,0.0321519,0.00784302,0.0647689,0.0495026,0.00799394,0.0322998,0.0048604,0.0447264,0.0115182,=AVERAGE(A96:J96)
0.00977159,0.0487678,0.00297117,0.00980926,0.00606203,0.0216558,0.0446002,0.0510173,0.0633654,0.0408821,=AVERAGE(A97:J97)
0.0021379,0.0144494,0.0137761,0.0119076,0.0218914,0.00114179,0.0428233,0.0423649,0.0494356,0.0346839,=AVERAGE(A98:J98)
0.0268607,0.0202675,0.019707,0.0398095,0.0172224,0.0340893,0.0337281,0.0486937,0.0146687,0.0201001,=AVERAGE(A99:J99)
0.00672317,0.146435,0.0569618,0.0155547,0.0169418,0.0670721,0.0923872,0.0585955,0.0418392,0.0435939,=AVERAGE(A100:J100)
0.0326867,0.200947,0.0843616,0.0230672,0.01897,0.146402,0.350789,0.172269,0.0291609,0.0193589,=AVERAGE(A101:J101)
0.0258079,0.0392416,0.131708,0.0324724,0.0869827,0.188903,0.363056,0.0481089,0.00465131,0.0581721,=AVERAGE(A102:J102)
0.00856686,0.152014,0.166271,0.0946022,0.0325382,0.106342,0.118142,0.103856,0.0152524,0.210834,=AVERAGE(A103:J103)
0.0124915,0.0176733,0.0216656,0.00832582,0.0588711,0.0334632,0.00715566,0.127729,0.034677,0.0638928,=AVERAGE(A104:J104)
0.00335073,0.0510466,0.0391533,0.0211475,0.0503361,0.0055418,0.0291281,0.149049,0.0134144,0.0975338,=AVERAGE(A105:J105)
0.00115347,0.0323877,0.00153661,0.0108161,0.00405955,0.0351007,0.027647,0.104899,0.0317197,0.0701413,=AVERAGE(A106:J106)
0.0115502,0.0230181,0.00517392,0.0176454,0.00448823,0.0258532,0.0140266,0.010933,0.0425144,0.0869676,=AVERAGE(A107:J107)
0.0282054,0.0665523,0.0986594,0.0180004,0.00792027,0.0174367,0.0119009,0.0870451,0.0540485,0.121778,=AVERAGE(A108:J108)
0.0492075,0.027597,0.0870811,0.0376501,0.0108004,0.0189483,0.0130081,0.156764,0.00429106,0.138447,=AVERAGE(A109:J109)
0.0936713,0.00919223,0.00724888,0.0167155,0.010704,0.00964665,0.0359635,0.0338352,0.0274637,0.074114,=AVERAGE(A110:J110)
0.0951988,0.0153654,0.00184608,0.0866157,0.00034976,0.0125968,0.0347681,0.0331643,0.0145712,0.144858,=AVERAGE(A111:J111)
0.0268316,0.0093298,0.000625372,0.139427,0.0106673,0.0841578,0.0613632,0.020195,0.134743,0.0214809,=AVERAGE(A112:J112)
0.00933647,0.00678468,0.00581837,0.152684,0.00708842,0.160989,0.0756125,0.0114944,0.217554,0.0762511,=AVERAGE(A113:J113)
0.0316937,0.00308704,0.0163138,0.0123854,0.00572228,0.14265,0.0213983,0.0207653,0.225323,0.168002,=AVERAGE(A114:J114)
0.00215387,0.00872016,0.00324845,0.107043,0.0120394,0.0318308,0.0225458,0.0574155,0.0450816,0.0904216,=AVERAGE(A115:J115)
0.00477314,0.00816584,0.0232778,0.00835204,0.0269625,0.0354328,0.060379,0.0659175,0.0300658,0.0788337,=AVERAGE(A116:J116)
0.0436525,0.0415013,0.115337,0.0208507,0.0378144,0.0275083,0.038964,0.0160637,0.0233266,0.0170667,=AVERAGE(A117:J117)
0.0477636,0.108733,0.177135,0.00876665,0.0396464,0.00825238,0.0185981,0.0476191,0.0302386,0.0705051,=AVERAGE(A118:J118)
0.016886,0.0655346,0.0958332,0.131256,0.0154762,0.00968981,0.023304,0.0712409,0.109472,0.0102851,=AVERAGE(A119:J119)
0.0591658,0.00923109,0.0165882,0.11745,0.0237007,0.0420244,0.00497246,0.123744,0.0699482,0.0580549,=AVERAGE(A120:J120)
0.00535035,0.0188169,0.0319963,0.0514738,0.0179739,0.0133688,0.0114377,0.139529,0.0277145,0.0351844,=AVERAGE(A121:J121)
0.0431297,0.0318172,0.0227013,0.0129466,0.00486922,0.012867,0.0363548,0.0885344,0.0535955,0.0266428,=AVERAGE(A122:J122)
0.0369835,0.0145025,0.0171173,0.025306,0.0184729,0.0173249,0.00702119,0.0676961,0.0715131,0.00765634,=AVERAGE(A123:J123)
0.00638461,0.0330169,0.0195558,0.0267773,0.0231347,0.00610018,0.00204968,0.015152,0.187669,0.0306315,=AVERAGE(A124:J124)
0.0271716,0.0744628,0.0122333,0.00157857,0.0097754,0.0517998,0.0108931,0.00862122,0.0647368,0.0509213,=AVERAGE(A125:J125)
0.0161788,0.25087,0.0254035,0.0105872,0.0176885,0.0316324,0.0233088,0.122368,0.130787,0.0148733,=AVERAGE(A126:J126)
0.043452,0.208583,0.0099988,0.18689,0.010603,0.117527,0.0339143,0.0641351,0.131464,0.0602266,=AVERAGE(A127:J127)
0.0343995,0.0744265,0.029177,0.141691,0.102707,0.106894,0.0662246,0.00327325,0.1059,0.0148072,=AVERAGE(A128:J128)
0.043556,0.193668,0.203508,0.0518909,0.277989,0.0358441,0.013387,0.00868607,0.0298979,0.0308585,=AVERAGE(A129:J129)
0.043416,0.0923873,0.169121,0.091195,0.23387,0.103871,0.0123785,0.0411289,0.000366092,0.0180981,=AVERAGE(A130:J130)
0.0190148,0.0528824,0.0602293,0.00332141,0.0333879,0.015939,0.00814319,0.106844,0.087753,0.00302625,=AVERAGE(A131:J131)
0.0047915,0.0521059,0.0253549,0.0414081,0.0312872,0.0130038,0.0279348,0.00872111,0.0263773,0.0315807,=AVERAGE(A132:J132)
0.00781584,0.0283244,0.00580549,0.0373273,0.0115104,0.0381734,0.00564337,0.128975,0.0168519,0.0875907,=AVERAGE(A133:J133)
0.0158908,0.00775838,0.126131,0.0174825,0.0104599,0.0414233,0.00646162,0.0613704,0.0307784,0.191444,=AVERAGE(A134:J134)
0.022769,0.00695634,0.264864,0.0900316,0.0619321,0.0355692,0.0297992,0.00165009,0.00346375,0.164169,=AVERAGE(A135:J135)
0.0297542,0.013941,0.0965248,0.0780272,0.0637083,0.00578713,0.106547,0.0115666,0.00401545,0.00329447,=AVERAGE(A136:J136)
0.0124211,0.0462418,0.000815153,0.0152717,0.0446212,0.0266192,0.0178912,0.0279889,0.0363231,0.027009,=AVERAGE(A137:J137)
0.0457025,0.10561,0.0400684,0.0491821,0.00963783,0.0454764,0.0982398,0.00230813,0.0257959,0.0181808,=AVERAGE(A138:J138)
0.0133069,0.23428,0.0029068,0.179543,0.0439916,0.0860451,0.249749,0.0117977,0.0773884,0.0262129,=AVERAGE(A139:J139)
0.0442989,0.168418,0.00529552,0.15752,0.00644374,0.0533233,0.238718,0.0479042,0.164345,0.084772,=AVERAGE(A140:J140)
0.0738784,0.118423,0.0286496,0.0787002,0.0446467,0.00805235,0.124817,0.084415,0.0458765,0.265083,=AVERAGE(A141:J141)
0.032558,0.0071224,0.190376,0.115263,0.00920463,0.0145741,0.0230279,0.0664388,0.1349,0.00511765,=AVERAGE(A142:J142)
0.0415266,0.14654,0.1912,0.0441124,0.00397515,0.0451298,0.00395322,0.0431828,0.0597901,0.029207,=AVERAGE(A143:J143)
0.0148463,0.040355,0.0555622,0.0214238,0.00268531,0.0876041,0.0504632,0.00163794,0.00683367,0.0723934,=AVERAGE(A144:J144)
0.00817084,0.101227,0.0440214,0.021178,0.120234,0.0459592,0.00914764,0.0179355,0.175733,0.0460429,=AVERAGE(A145:J145)
0.0128872,0.0312428,0.0817947,0.0969978,0.271856,0.155516,0.0253932,0.0347171,0.14404,0.0195718,=AVERAGE(A146:J146)
0.00575471,0.0122302,0.00807214,0.0111613,0.229373,0.222714,0.0533125,0.0732536,0.0152041,0.0158403,=AVERAGE(A147:J147)
0.0225747,0.00373507,0.102948,0.0237629,0.0621832,0.027777,0.0347087,0.0236838,0.0170128,8.51154e-05,=AVERAGE(A148:J148)
0.00257993,0.027457,0.0591566,0.04847,0.0200906,0.132877,0.0214529,0.0180869,0.0333943,0.0437078,=AVERAGE(A149:J149)
0.0124876,0.133934,0.0244579,0.0540535,0.00912499,0.136376,0.0154042,0.0115049,0.0552726,0.0108206,=AVERAGE(A150:J150)
0.0183816,0.0867234,0.011553,0.0572495,0.0684352,0.0500706,0.011308,0.0464878,0.0301389,0.118914,=AVERAGE(A151:J151)
0.00968814,0.0666143,0.03231,0.0464266,0.170966,0.111849,0.0622389,0.03369,0.0616046,0.0703353,=AVERAGE(A152:J152)
0.0220864,0.055337,0.0194778,0.0275838,0.17926,0.260797,0.000874758,0.12036,0.0890866,0.0594349,=AVERAGE(A153:J153)
0.00217295,0.24308,0.00229144,0.0258923,0.0528955,0.216365,0.0413282,0.296023,0.0219651,0.0241461,=AVERAGE(A154:J154)
0.0177395,0.121433,0.0708836,0.0210102,0.0880793,0.14982,0.0143504,0.250401,0.00272679,0.0549545,=AVERAGE(A155:J155)
0.0239053,0.0775593,0.0357625,0.0540039,0.158211,0.118438,0.0083313,0.0310998,0.0292897,0.0473206,=AVERAGE(A156:J156)
0.0175464,0.065275,0.00696492,0.0321276,0.147547,0.0165029,0.0302911,0.0257008,0.0205622,0.0556393,=AVERAGE(A157:J157)
0.00527048,0.00069046,0.0243363,0.0335622,0.0382049,0.0176008,0.0458157,0.0310996,0.0379129,0.0343597,=AVERAGE(A158:J158)
0.0250385,0.00686955,0.113749,0.0172455,0.00838852,0.0104632,0.0123193,0.105827,0.00574887,0.00871563,=AVERAGE(A159:J159)
0.000434399,0.0848533,0.122363,0.0319347,0.0422718,0.0218027,0.0384281,0.00201893,0.0757132,0.020751,=AVERAGE(A160:J160)
0.00711322,0.11368,0.0229311,0.00251055,0.0143657,0.0403199,0.0232005,0.00839949,0.0268203,0.071705,=AVERAGE(A161:J161)
0.0199771,0.0834198,0.0278809,0.0228033,0.00645733,0.00870585,0.0286579,0.0323002,0.0213717,0.00604129,=AVERAGE(A162:J162)
0.00636172,0.0797777,0.0179272,0.0135112,0.0737309,0.0146291,0.0225568,0.00408316,0.0599714,0.0723605,=AVERAGE(A163:J163)
0.00883174,0.00233769,0.0337105,0.0484881,0.0565651,0.00363421,0.0343425,0.0106599,0.049346,0.00273037,=AVERAGE(A164:J164)
0.00705576,0.046602,0.0181615,0.025418,0.0293064,0.0383558,0.100958,0.026634,0.0309696,0.0480194,=AVERAGE(A165:J165)
0.0676758,0.086116,0.0162187,0.0368497,0.0603887,0.025357,0.199692,0.0396962,0.0278048,0.00276494,=AVERAGE(A166:J166)
0.157501,0.093182,0.0061121,0.0523168,0.0119133,0.0470574,0.215067,0.0679154,0.124209,0.0253294,=AVERAGE(A167:J167)
0.204304,0.0842033,0.00516129,0.0231209,0.0243855,0.0237303,0.10858,0.0409284,0.083651,0.014662,=AVERAGE(A168:J168)
0.0542515,0.0345762,0.00107884,0.0601988,0.0524694,0.0109081,0.0300019,0.137584,0.00991392,0.0248332,=AVERAGE(A169:J169)
0.0179498,8.96454e-05,0.00099659,0.0107424,0.017487,0.0466743,0.00451016,0.0346665,0.0480933,0.0351744,=AVERAGE(A170:J170)
0.0570507,0.0461962,0.00409317,0.0178366,0.0062573,0.0169163,0.0163217,0.128851,0.00175154,0.0442126,=AVERAGE(A171:J171)
0.0829457,0.0590485,0.101941,0.00832033,0.0487328,0.0756245,0.00510216,0.0469563,0.0884151,0.0557303,=AVERAGE(A172:J172)
0.0257339,0.00850701,0.191983,0.00970244,0.00396395,0.184197,0.00583959,0.00244355,0.0747415,0.0284944,=AVERAGE(A173:J173)
0.0448174,0.0108144,0.128276,0.0208852,0.0252128,0.18928,0.0180819,0.000379801,0.0364096,0.0346363,=AVERAGE(A174:J174)
0.00982785,0.0219769,0.0554792,0.0304503,0.0741347,0.0330982,0.022541,0.0126321,0.115146,0.0841603,=AVERAGE(A175:J175)
0.0373337,0.0355339,0.130504,0.0973144,0.127546,0.0205007,0.018472,0.0527031,0.0690632,0.137554,=AVERAGE(A176:J176)
0.0229919,0.0474398,0.172326,0.0637937,0.12568,0.0229614,0.0635762,0.0685662,0.0648346,0.0452774,=AVERAGE(A177:J177)
0.0252576,0.0154796,0.0274994,0.107804,0.0165682,0.0191405,0.0145237,0.0343978,0.042171,0.016171,=AVERAGE(A178:J178)
0.00288177,0.0064311,0.109494,0.111936,0.0412135,0.00614667,0.0128102,0.0193508,0.00684023,0.128056,=AVERAGE(A179:J179)
0.00272512,0.0168934,0.0396006,0.0259387,0.0226996,0.0298302,0.0380433,0.100075,0.0245642,0.0907245,=AVERAGE(A180:J180)
0.0203025,0.00227737,0.0216117,0.0126283,0.0541601,0.0285516,0.055531,0.0515699,0.00948334,0.000332832,=AVERAGE(A181:J181)
0.0383794,0.0342846,0.0480377,0.0359986,0.03036,0.0136507,0.0655951,0.00927067,0.0055548,0.10724,=AVERAGE(A182:J182)
0.0233293,0.0139771,0.0211334,0.0151162,0.0630121,0.00825977,0.00594997,0.0182354,0.0646248,0.105816,=AVERAGE(A183:J183)
0.0245237,0.0106022,0.0154426,0.0451417,0.114768,0.0329223,0.0608168,0.0320807,0.0231831,0.036962,=AVERAGE(A184:J184)
0.0457265,0.0308006,0.0129366,0.0294123,0.12607,0.0527145,0.0229027,0.0709382,0.00236595,0.0545036,=AVERAGE(A185:J185)
0.00744939,0.00682592,0.0161483,0.0138772,0.062314,0.0892482,0.0488687,0.061307,0.0409201,0.0115464,=AVERAGE(A186:J186)
0.0048244,0.0841007,0.0118232,0.0950298,0.0834599,0.0560806,0.0424664,0.015276,0.0763884,0.151985,=AVERAGE(A187:J187)
0.0315213,0.095789,0.0463028,0.177584,0.114295,0.0137649,0.0924387,0.0459828,0.0307235,0.157675,=AVERAGE(A188:J188)
0.00821304,0.0320451,0.0159807,0.240001,0.0762453,0.0277517,0.264324,0.0064199,0.112625,0.0321729,=AVERAGE(A189:J189)
0.0205972,0.00746012,0.0163167,0.0470967,0.260322,0.0568204,0.199049,0.0315311,0.277142,0.297659,=AVERAGE(A190:J190)
0.0131793,0.0272405,0.127843,0.0527387,0.0842563,0.11456,0.181416,0.0296092,0.251046,0.159194,=AVERAGE(A191:J191)
